商品ID,商品名称,品类
154,商品128,品类12
155,商品129,品类55
156,商品130,品类36
157,商品131,品类56
158,商品132,品类7
159,商品133,品类57
160,商品134,品类58
161,商品135,品类59
162,商品136,品类37
163,商品137,品类60
164,商品138,品类61
165,商品139,品类6
166,商品140,品类62
168,商品141,品类63
169,商品142,品类64
170,商品143,品类65
171,商品144,品类36
172,商品145,品类34
173,商品146,品类66
174,商品147,品类5
175,商品148,品类12
176,商品149,品类5
177,商品150,品类67
178,商品151,品类36
179,商品152,品类15
180,商品153,品类3
181,商品154,品类68
183,商品155,品类69
184,商品156,品类12
185,商品157,品类6
186,商品158,品类3
187,商品159,品类5
188,商品160,品类70
189,商品161,品类71
190,商品162,品类51
191,商品163,品类15
193,商品164,品类12
194,商品165,品类36
195,商品166,品类4
196,商品167,品类72
198,商品168,品类73
199,商品169,品类74
201,商品170,品类75
202,商品171,品类15
203,商品172,品类5
204,商品173,品类8
205,商品174,品类36
206,商品175,品类37
207,商品176,品类15
208,商品177,品类76
209,商品178,品类12
210,商品179,品类77
211,商品180,品类12
212,商品181,品类78
213,商品182,品类12
214,商品183,品类24
215,商品184,品类15
216,商品185,品类5
217,商品186,品类32
218,商品187,品类36
219,商品188,品类12
220,商品189,品类67
222,商品190,品类15
223,商品191,品类5
224,商品192,品类4
225,商品193,品类32
227,商品194,品类41
228,商品195,品类5
229,商品196,品类32
230,商品197,品类32
231,商品198,品类79
232,商品199,品类4
233,商品200,品类12
234,商品201,品类5
235,商品202,品类36
236,商品203,品类80
237,商品204,品类3
238,商品205,品类7
239,商品206,品类81
240,商品207,品类51
241,商品208,品类20
242,商品209,品类82
243,商品210,品类83
246,商品211,品类37
247,商品212,品类14
248,商品213,品类5
249,商品214,品类15
250,商品215,品类23
251,商品216,品类8
252,商品217,品类3
253,商品218,品类54
254,商品219,品类12
255,商品220,品类5
256,商品221,品类84
257,商品222,品类28
258,商品223,品类85
259,商品224,品类47
260,商品225,品类76
261,商品226,品类12
262,商品227,品类20
263,商品228,品类12
265,商品229,品类86
266,商品230,品类87
267,商品231,品类5
269,商品232,品类12
270,商品233,品类15
271,商品234,品类12
272,商品235,品类36
273,商品236,品类88
274,商品237,品类5
275,商品238,品类5
276,商品239,品类3
277,商品240,品类12
278,商品241,品类5
279,商品242,品类12
280,商品243,品类32
281,商品244,品类4
282,商品245,品类12
283,商品246,品类14
284,商品247,品类89
285,商品248,品类54
287,商品249,品类3
288,商品250,品类6
289,商品251,品类3
290,商品252,品类14
291,商品253,品类32
292,商品254,品类90
293,商品255,品类38
294,商品256,品类3
295,商品257,品类3
296,商品258,品类91
298,商品259,品类12
299,商品260,品类12
300,商品261,品类12
301,商品262,品类15
302,商品263,品类15
303,商品264,品类92
304,商品265,品类36
305,商品266,品类5
306,商品267,品类12
307,商品268,品类12
308,商品269,品类36
310,商品270,品类5
311,商品271,品类93
312,商品272,品类5
313,商品273,品类94
314,商品274,品类95
315,商品275,品类96
316,商品276,品类76
317,商品277,品类97
318,商品278,品类14
319,商品279,品类27
320,商品280,品类98
321,商品281,品类12
322,商品282,品类36
324,商品283,品类36
325,商品284,品类5
326,商品285,品类12
327,商品286,品类99
328,商品287,品类93
329,商品288,品类100
330,商品289,品类101
331,商品290,品类12
332,商品291,品类72
333,商品292,品类5
334,商品293,品类12
335,商品294,品类28
336,商品295,品类24
337,商品296,品类12
338,商品297,品类34
339,商品298,品类3
340,商品299,品类55
341,商品300,品类12
342,商品301,品类5
343,商品302,品类102
344,商品303,品类5
345,商品304,品类36
346,商品305,品类82
347,商品306,品类103
348,商品307,品类5
349,商品308,品类38
350,商品309,品类104
351,商品310,品类4
352,商品311,品类36
353,商品312,品类105
354,商品313,品类12
355,商品314,品类83
356,商品315,品类106
357,商品316,品类3
358,商品317,品类12
359,商品318,品类4
360,商品319,品类107
361,商品320,品类4
362,商品321,品类108
363,商品322,品类37
364,商品323,品类109
365,商品324,品类12
366,商品325,品类110
367,商品326,品类111
368,商品327,品类112
369,商品328,品类12
370,商品329,品类107
371,商品330,品类36
372,商品331,品类4
373,商品332,品类51
374,商品333,品类23
376,商品334,品类41
377,商品335,品类113
378,商品336,品类3
379,商品337,品类34
380,商品338,品类114
381,商品339,品类15
382,商品340,品类115
383,商品341,品类77
384,商品342,品类25
385,商品343,品类12
386,商品344,品类12
387,商品345,品类107
388,商品346,品类12
389,商品347,品类116
390,商品348,品类25
391,商品349,品类14
393,商品350,品类26
405,商品351,品类117
406,商品352,品类12
407,商品353,品类93
408,商品354,品类12
409,商品355,品类14
410,商品356,品类83
412,商品357,品类12
413,商品358,品类5
414,商品359,品类5
415,商品360,品类118
416,商品361,品类77
417,商品362,品类3
418,商品363,品类12
419,商品364,品类5
420,商品365,品类119
421,商品366,品类64
422,商品367,品类51
423,商品368,品类41
424,商品369,品类12
425,商品370,品类15
426,商品371,品类120
427,商品372,品类121
428,商品373,品类12
429,商品374,品类5
430,商品375,品类36
431,商品376,品类14
432,商品377,品类112
433,商品378,品类5
434,商品379,品类9
435,商品380,品类84
436,商品381,品类32
437,商品382,品类5
438,商品383,品类122
440,商品384,品类3
441,商品385,品类5
442,商品386,品类76
444,商品387,品类3
445,商品388,品类5
446,商品389,品类15
448,商品390,品类12
449,商品391,品类5
450,商品392,品类36
451,商品393,品类50
452,商品394,品类12
453,商品395,品类3
454,商品396,品类32
455,商品397,品类64
456,商品398,品类47
457,商品399,品类51
458,商品400,品类123
459,商品401,品类124
460,商品402,品类5
461,商品403,品类15
464,商品404,品类65
466,商品405,品类125
467,商品406,品类5
468,商品407,品类3
469,商品408,品类15
470,商品409,品类5
471,商品410,品类5
472,商品411,品类36
473,商品412,品类56
474,商品413,品类41
475,商品414,品类12
476,商品415,品类36
477,商品416,品类82
478,商品417,品类62
479,商品418,品类6
480,商品419,品类126
481,商品420,品类32
482,商品421,品类47
484,商品422,品类7
485,商品423,品类127
486,商品424,品类5
487,商品425,品类128
488,商品426,品类15
489,商品427,品类5
490,商品428,品类51
491,商品429,品类12
492,商品430,品类129
493,商品431,品类25
494,商品432,品类9
495,商品433,品类12
496,商品434,品类130
497,商品435,品类3
499,商品436,品类3
500,商品437,品类36
501,商品438,品类12
502,商品439,品类131
504,商品440,品类132
505,商品441,品类5
506,商品442,品类86
507,商品443,品类47
508,商品444,品类12
509,商品445,品类15
510,商品446,品类12
511,商品447,品类133
512,商品448,品类72
513,商品449,品类134
514,商品450,品类5
515,商品451,品类15
516,商品452,品类36
517,商品453,品类135
518,商品454,品类5
519,商品455,品类136
520,商品456,品类5
521,商品457,品类137
522,商品458,品类133
523,商品459,品类12
524,商品460,品类12
526,商品461,品类12
527,商品462,品类24
528,商品463,品类36
529,商品464,品类12
531,商品465,品类20
532,商品466,品类138
533,商品467,品类139
534,商品468,品类15
535,商品469,品类12
536,商品470,品类12
537,商品471,品类12
538,商品472,品类12
539,商品473,品类4
540,商品474,品类51
541,商品475,品类34
542,商品476,品类4
543,商品477,品类140
544,商品478,品类89
546,商品479,品类141
547,商品480,品类9
548,商品481,品类142
549,商品482,品类82
550,商品483,品类3
551,商品484,品类143
552,商品485,品类144
553,商品486,品类145
555,商品487,品类137
556,商品488,品类37
558,商品489,品类146
562,商品490,品类36
563,商品491,品类15
564,商品492,品类5
567,商品493,品类36
568,商品494,品类36
569,商品495,品类36
573,商品496,品类12
574,商品497,品类36
575,商品498,品类23
577,商品499,品类64
579,商品500,品类137
580,商品501,品类12
581,商品502,品类37
583,商品503,品类36
585,商品504,品类5
586,商品505,品类23
587,商品506,品类147
588,商品507,品类148
589,商品508,品类149
590,商品509,品类150
592,商品510,品类6
593,商品511,品类151
594,商品512,品类152
595,商品513,品类153
596,商品514,品类143
597,商品515,品类3
599,商品516,品类154
600,商品517,品类155
602,商品518,品类37
605,商品519,品类15
606,商品520,品类156
608,商品521,品类91
609,商品522,品类7
610,商品523,品类157
611,商品524,品类158
612,商品525,品类5
613,商品526,品类15
615,商品527,品类36
616,商品528,品类94
617,商品529,品类36
618,商品530,品类3
619,商品531,品类5
626,商品532,品类5
627,商品533,品类32
628,商品534,品类159
631,商品535,品类160
632,商品536,品类24
633,商品537,品类5
634,商品538,品类5
635,商品539,品类36
636,商品540,品类12
637,商品541,品类5
638,商品542,品类161
639,商品543,品类36
640,商品544,品类32
645,商品545,品类12
647,商品546,品类162
648,商品547,品类163
649,商品548,品类36
650,商品549,品类12
653,商品550,品类26
656,商品551,品类5
661,商品552,品类164
662,商品553,品类51
663,商品554,品类5
665,商品555,品类165
667,商品556,品类8
668,商品557,品类12
670,商品558,品类12
671,商品559,品类84
673,商品560,品类166
674,商品561,品类167
678,商品562,品类32
679,商品563,品类12
680,商品564,品类168
685,商品565,品类12
688,商品566,品类169
691,商品567,品类3
692,商品568,品类34
694,商品569,品类25
695,商品570,品类28
697,商品571,品类15
698,商品572,品类12
700,商品573,品类5
703,商品574,品类12
704,商品575,品类170
706,商品576,品类12
707,商品577,品类47
708,商品578,品类3
709,商品579,品类148
710,商品580,品类5
711,商品581,品类7
714,商品582,品类171
715,商品583,品类15
718,商品584,品类172
719,商品585,品类5
720,商品586,品类173
722,商品587,品类37
724,商品588,品类174
725,商品589,品类5
726,商品590,品类12
728,商品591,品类5
731,商品592,品类137
733,商品593,品类9
735,商品594,品类67
736,商品595,品类175
737,商品596,品类149
741,商品597,品类176
742,商品598,品类93
743,商品599,品类5
745,商品600,品类177
747,商品601,品类5
748,商品602,品类34
750,商品603,品类56
757,商品604,品类12
759,商品605,品类37
760,商品606,品类24
761,商品607,品类170
762,商品608,品类33
764,商品609,品类15
765,商品610,品类36
766,商品611,品类12
773,商品612,品类12
775,商品613,品类178
778,商品614,品类62
779,商品615,品类15
780,商品616,品类126
781,商品617,品类12
782,商品618,品类32
783,商品619,品类29
784,商品620,品类118
785,商品621,品类5
786,商品622,品类96
788,商品623,品类179
790,商品624,品类12
791,商品625,品类37
795,商品626,品类12
798,商品627,品类180
799,商品628,品类69
800,商品629,品类171
801,商品630,品类23
802,商品631,品类15
803,商品632,品类4
804,商品633,品类3
805,商品634,品类32
806,商品635,品类14
808,商品636,品类7
809,商品637,品类170
810,商品638,品类83
813,商品639,品类5
818,商品640,品类5
823,商品641,品类12
824,商品642,品类49
828,商品643,品类7
829,商品644,品类181
830,商品645,品类5
832,商品646,品类137
833,商品647,品类5
835,商品648,品类12
836,商品649,品类9
837,商品650,品类83
838,商品651,品类4
839,商品652,品类41
840,商品653,品类23
841,商品654,品类67
842,商品655,品类10
848,商品656,品类12
849,商品657,品类126
851,商品658,品类12
852,商品659,品类4
858,商品660,品类14
861,商品661,品类119
866,商品662,品类182
867,商品663,品类33
869,商品664,品类183
870,商品665,品类5
875,商品666,品类25
876,商品667,品类119
879,商品668,品类93
880,商品669,品类184
881,商品670,品类23
882,商品671,品类32
885,商品672,品类185
886,商品673,品类155
888,商品674,品类186
889,商品675,品类15
891,商品676,品类93
892,商品677,品类4
893,商品678,品类12
896,商品679,品类12
897,商品680,品类187
898,商品681,品类4
899,商品682,品类188
900,商品683,品类189
901,商品684,品类190
902,商品685,品类15
903,商品686,品类121
904,商品687,品类28
905,商品688,品类3
906,商品689,品类32
907,商品690,品类188
908,商品691,品类191
909,商品692,品类4
910,商品693,品类33
911,商品694,品类192
912,商品695,品类15
913,商品696,品类193
914,商品697,品类194
915,商品698,品类3
916,商品699,品类4
917,商品700,品类20
918,商品701,品类195
919,商品702,品类196
920,商品703,品类116
921,商品704,品类5
922,商品705,品类103
923,商品706,品类49
924,商品707,品类100
926,商品708,品类12
927,商品709,品类5
928,商品710,品类121
929,商品711,品类197
930,商品712,品类198
931,商品713,品类199
932,商品714,品类15
933,商品715,品类200
934,商品716,品类5
935,商品717,品类190
936,商品718,品类3
937,商品719,品类3
938,商品720,品类195
940,商品721,品类13
941,商品722,品类201
942,商品723,品类202
943,商品724,品类86
944,商品725,品类12
945,商品726,品类188
946,商品727,品类165
947,商品728,品类3
948,商品729,品类203
949,商品730,品类12
950,商品731,品类33
951,商品732,品类3
952,商品733,品类79
953,商品734,品类204
954,商品735,品类12
955,商品736,品类3
956,商品737,品类15
959,商品738,品类12
961,商品739,品类12
963,商品740,品类195
965,商品741,品类104
968,商品742,品类120
969,商品743,品类205
970,商品744,品类206
971,商品745,品类12
973,商品746,品类36
976,商品747,品类207
979,商品748,品类24
981,商品749,品类12
982,商品750,品类12
984,商品751,品类36
986,商品752,品类7
987,商品753,品类15
988,商品754,品类36
990,商品755,品类9
991,商品756,品类12
993,商品757,品类12
994,商品758,品类36
996,商品759,品类38
998,商品760,品类89
999,商品761,品类208
1003,商品762,品类32
1004,商品763,品类41
1005,商品764,品类23
1006,商品765,品类12
1007,商品766,品类209
1008,商品767,品类154
1009,商品768,品类2
1010,商品769,品类23
1011,商品770,品类210
1012,商品771,品类20
1013,商品772,品类211
1014,商品773,品类212
1015,商品774,品类64
1016,商品775,品类23
1017,商品776,品类7
1018,商品777,品类213
1019,商品778,品类100
1020,商品779,品类5
1021,商品780,品类23
1022,商品781,品类214
1023,商品782,品类215
1024,商品783,品类215
1025,商品784,品类143
1027,商品785,品类31
1028,商品786,品类216
1029,商品787,品类217
1030,商品788,品类186
1031,商品789,品类218
1032,商品790,品类164
1033,商品791,品类219
1034,商品792,品类91
1035,商品793,品类189
1036,商品794,品类6
1037,商品795,品类220
1040,商品796,品类12
1041,商品797,品类12
1042,商品798,品类36
1043,商品799,品类15
1046,商品800,品类15
1047,商品801,品类96
1049,商品802,品类170
1050,商品803,品类221
1051,商品804,品类12
1053,商品805,品类39
1054,商品806,品类12
1055,商品807,品类51
1056,商品808,品类12
1057,商品809,品类188
1059,商品810,品类15
1060,商品811,品类36
1061,商品812,品类51
1064,商品813,品类222
1066,商品814,品类188
1068,商品815,品类208
1073,商品816,品类216
1076,商品817,品类42
1077,商品818,品类84
1078,商品819,品类56
1079,商品820,品类33
1080,商品821,品类5
1081,商品822,品类188
1082,商品823,品类12
1083,商品824,品类190
1084,商品825,品类14
1085,商品826,品类31
1086,商品827,品类30
1088,商品828,品类74
1089,商品829,品类30
1090,商品830,品类24
1091,商品831,品类5
1092,商品832,品类30
1093,商品833,品类12
1094,商品834,品类223
1095,商品835,品类12
1096,商品836,品类12
1097,商品837,品类224
1099,商品838,品类185
1100,商品839,品类63
1101,商品840,品类225
1103,商品841,品类12
1104,商品842,品类12
1105,商品843,品类67
1107,商品844,品类5
1111,商品845,品类37
1112,商品846,品类122
1114,商品847,品类14
1116,商品848,品类12
1117,商品849,品类12
1119,商品850,品类12
1120,商品851,品类36
1121,商品852,品类12
1123,商品853,品类37
1124,商品854,品类12
1125,商品855,品类33
1126,商品856,品类71
1127,商品857,品类126
1128,商品858,品类67
1129,商品859,品类126
1130,商品860,品类178
1131,商品861,品类49
1132,商品862,品类12
1135,商品863,品类5
1136,商品864,品类226
1137,商品865,品类161
1140,商品866,品类12
1144,商品867,品类37
1147,商品868,品类37
1148,商品869,品类227
1150,商品870,品类12
1151,商品871,品类228
1156,商品872,品类12
1161,商品873,品类24
1162,商品874,品类36
1163,商品875,品类12
1167,商品876,品类5
1170,商品877,品类8
1171,商品878,品类5
1172,商品879,品类12
1173,商品880,品类36
1175,商品881,品类4
1176,商品882,品类86
1177,商品883,品类15
1178,商品884,品类24
1179,商品885,品类229
1180,商品886,品类5
1183,商品887,品类116
1184,商品888,品类36
1185,商品889,品类12
1186,商品890,品类12
1187,商品891,品类12
1188,商品892,品类3
1189,商品893,品类37
1190,商品894,品类39
1191,商品895,品类230
1192,商品896,品类37
1193,商品897,品类12
1194,商品898,品类5
1196,商品899,品类76
1197,商品900,品类231
1198,商品901,品类170
1199,商品902,品类232
1200,商品903,品类233
1201,商品904,品类234
1202,商品905,品类5
1203,商品906,品类12
1204,商品907,品类55
1206,商品908,品类235
1207,商品909,品类12
1208,商品910,品类46
1209,商品911,品类145
1210,商品912,品类76
1211,商品913,品类86
1212,商品914,品类236
1213,商品915,品类14
1214,商品916,品类72
1215,商品917,品类237
1216,商品918,品类238
1217,商品919,品类24
1218,商品920,品类38
1219,商品921,品类239
1220,商品922,品类240
1221,商品923,品类14
1222,商品924,品类24
1223,商品925,品类241
1224,商品926,品类53
1225,商品927,品类12
1226,商品928,品类15
1227,商品929,品类14
1228,商品930,品类12
1230,商品931,品类3
1231,商品932,品类12
1232,商品933,品类242
1233,商品934,品类46
1234,商品935,品类33
1235,商品936,品类4
1236,商品937,品类4
1237,商品938,品类12
1238,商品939,品类5
1240,商品940,品类34
1241,商品941,品类243
1242,商品942,品类24
1243,商品943,品类36
1244,商品944,品类4
1245,商品945,品类244
1246,商品946,品类12
1247,商品947,品类4
1248,商品948,品类245
1249,商品949,品类246
1250,商品950,品类55
1251,商品951,品类75
1252,商品952,品类61
1253,商品953,品类247
1254,商品954,品类248
1255,商品955,品类249
1256,商品956,品类250
1257,商品957,品类3
1258,商品958,品类67
1259,商品959,品类31
1260,商品960,品类245
1261,商品961,品类251
1262,商品962,品类252
1263,商品963,品类24
1264,商品964,品类253
1265,商品965,品类254
1266,商品966,品类123
1267,商品967,品类255
1268,商品968,品类36
1269,商品969,品类256
1270,商品970,品类167
1271,商品971,品类62
1272,商品972,品类24
1273,商品973,品类257
1274,商品974,品类258
1275,商品975,品类26
1276,商品976,品类12
1277,商品977,品类4
1278,商品978,品类71
1279,商品979,品类36
1280,商品980,品类12
1281,商品981,品类165
1282,商品982,品类143
1283,商品983,品类123
1284,商品984,品类202
1285,商品985,品类5
1286,商品986,品类15
1287,商品987,品类40
1288,商品988,品类5
1289,商品989,品类37
1290,商品990,品类15
1291,商品991,品类170
1292,商品992,品类36
1293,商品993,品类12
1295,商品994,品类12
1296,商品995,品类15
1297,商品996,品类5
1298,商品997,品类82
1299,商品998,品类24
1300,商品999,品类36
1301,商品1000,品类19
1302,商品1001,品类185
1303,商品1002,品类31
1304,商品1003,品类259
1305,商品1004,品类15
1306,商品1005,品类100
1307,商品1006,品类3
1310,商品1007,品类37
1312,商品1008,品类12
1318,商品1009,品类36
1320,商品1010,品类220
1321,商品1011,品类69
1322,商品1012,品类67
1323,商品1013,品类67
1324,商品1014,品类67
1325,商品1015,品类67
1326,商品1016,品类67
1327,商品1017,品类110
1328,商品1018,品类67
1329,商品1019,品类67
1330,商品1020,品类67
1331,商品1021,品类67
1332,商品1022,品类93
1333,商品1023,品类93
1334,商品1024,品类72
1335,商品1025,品类178
1336,商品1026,品类93
1337,商品1027,品类42
1339,商品1028,品类260
1340,商品1029,品类88
1341,商品1030,品类67
1342,商品1031,品类93
1343,商品1032,品类51
1344,商品1033,品类47
1345,商品1034,品类174
1346,商品1035,品类261
1347,商品1036,品类93
1348,商品1037,品类67
1349,商品1038,品类67
1350,商品1039,品类262
1351,商品1040,品类47
1352,商品1041,品类137
1353,商品1042,品类4
1354,商品1043,品类49
1355,商品1044,品类93
1356,商品1045,品类126
1357,商品1046,品类15
1358,商品1047,品类12
1359,商品1048,品类23
1361,商品1049,品类37
1363,商品1050,品类12
1365,商品1051,品类12
1366,商品1052,品类12
1367,商品1053,品类263
1370,商品1054,品类9
1371,商品1055,品类264
1372,商品1056,品类265
1373,商品1057,品类149
1374,商品1058,品类126
1375,商品1059,品类76
1376,商品1060,品类167
1377,商品1061,品类89
1378,商品1062,品类266
1379,商品1063,品类259
1380,商品1064,品类188
1381,商品1065,品类188
1382,商品1066,品类133
1385,商品1067,品类96
1387,商品1068,品类267
1388,商品1069,品类93
1389,商品1070,品类267
1390,商品1071,品类5
1391,商品1072,品类99
1392,商品1073,品类36
1393,商品1074,品类15
1394,商品1075,品类5
1395,商品1076,品类36
1396,商品1077,品类268
1397,商品1078,品类12
1398,商品1079,品类207
1399,商品1080,品类12
1401,商品1081,品类12
1405,商品1082,品类269
1406,商品1083,品类159
1407,商品1084,品类270
1408,商品1085,品类271
1409,商品1086,品类272
1411,商品1087,品类39
1412,商品1088,品类12
1413,商品1089,品类12
1414,商品1090,品类5
1415,商品1091,品类39
1416,商品1092,品类82
1417,商品1093,品类12
1419,商品1094,品类31
1422,商品1095,品类159
1423,商品1096,品类12
1425,商品1097,品类5
1426,商品1098,品类102
1427,商品1099,品类41
1428,商品1100,品类12
1429,商品1101,品类273
1430,商品1102,品类118
1431,商品1103,品类107
1432,商品1104,品类16
1437,商品1105,品类12
1438,商品1106,品类41
1439,商品1107,品类5
1440,商品1108,品类5
1441,商品1109,品类3
1442,商品1110,品类12
1445,商品1111,品类56
1446,商品1112,品类36
1447,商品1113,品类274
1449,商品1114,品类5
1453,商品1115,品类3
1454,商品1116,品类36
1456,商品1117,品类5
1457,商品1118,品类4
1458,商品1119,品类86
1459,商品1120,品类28
1460,商品1121,品类213
1461,商品1122,品类5
1464,商品1123,品类275
1465,商品1124,品类133
1466,商品1125,品类14
1468,商品1126,品类3
1473,商品1127,品类276
1474,商品1128,品类23
1475,商品1129,品类161
1476,商品1130,品类36
1477,商品1131,品类161
1479,商品1132,品类277
1480,商品1133,品类32
1483,商品1134,品类32
1484,商品1135,品类278
1485,商品1136,品类5
1487,商品1137,品类82
1488,商品1138,品类96
1489,商品1139,品类215
1490,商品1140,品类5
1493,商品1141,品类161
1495,商品1142,品类279
1496,商品1143,品类15
1497,商品1144,品类8
1498,商品1145,品类15
1499,商品1146,品类9
1500,商品1147,品类280
1502,商品1148,品类15
1503,商品1149,品类5
1507,商品1150,品类24
1513,商品1151,品类5
1514,商品1152,品类161
1515,商品1153,品类96
1516,商品1154,品类5
1517,商品1155,品类281
1518,商品1156,品类41
1519,商品1157,品类12
1526,商品1158,品类5
1527,商品1159,品类282
1529,商品1160,品类36
1533,商品1161,品类12
1537,商品1162,品类4
1541,商品1163,品类3
1542,商品1164,品类4
1544,商品1165,品类126
1545,商品1166,品类12
1546,商品1167,品类5
1547,商品1168,品类20
1549,商品1169,品类15
1550,商品1170,品类3
1551,商品1171,品类64
1552,商品1172,品类9
1554,商品1173,品类15
1556,商品1174,品类113
1562,商品1175,品类283
1564,商品1176,品类4
1565,商品1177,品类118
1566,商品1178,品类148
1569,商品1179,品类3
1571,商品1180,品类3
1572,商品1181,品类12
1573,商品1182,品类38
1574,商品1183,品类161
1580,商品1184,品类99
1581,商品1185,品类5
1582,商品1186,品类7
1583,商品1187,品类284
1584,商品1188,品类19
1585,商品1189,品类5
1586,商品1190,品类133
1587,商品1191,品类26
1588,商品1192,品类23
1589,商品1193,品类38
1590,商品1194,品类120
1591,商品1195,品类126
1592,商品1196,品类23
1593,商品1197,品类3
1594,商品1198,品类36
1596,商品1199,品类12
1597,商品1200,品类121
1598,商品1201,品类47
1599,商品1202,品类8
1600,商品1203,品类15
1601,商品1204,品类229
1602,商品1205,品类5
1603,商品1206,品类120
1604,商品1207,品类107
1605,商品1208,品类285
1606,商品1209,品类170
1608,商品1210,品类41
1609,商品1211,品类32
1610,商品1212,品类9
1611,商品1213,品类15
1612,商品1214,品类5
1613,商品1215,品类12
1614,商品1216,品类5
1615,商品1217,品类31
1616,商品1218,品类286
1617,商品1219,品类61
1619,商品1220,品类55
1620,商品1221,品类159
1621,商品1222,品类12
1623,商品1223,品类67
1624,商品1224,品类12
1625,商品1225,品类104
1626,商品1226,品类96
1627,商品1227,品类57
1629,商品1228,品类3
1631,商品1229,品类41
1633,商品1230,品类12
1635,商品1231,品类12
1639,商品1232,品类4
1641,商品1233,品类36
1642,商品1234,品类36
1643,商品1235,品类15
1644,商品1236,品类262
1645,商品1237,品类104
1646,商品1238,品类287
1647,商品1239,品类47
1648,商品1240,品类36
1649,商品1241,品类37
1650,商品1242,品类12
1652,商品1243,品类37
1653,商品1244,品类247
1654,商品1245,品类185
1655,商品1246,品类42
1656,商品1247,品类15
1658,商品1248,品类288
1659,商品1249,品类12
1660,商品1250,品类12
1661,商品1251,品类30
1662,商品1252,品类274
1663,商品1253,品类56
1665,商品1254,品类5
1667,商品1255,品类133
1670,商品1256,品类24
1671,商品1257,品类47
1672,商品1258,品类12
1673,商品1259,品类12
1674,商品1260,品类223
1675,商品1261,品类137
1676,商品1262,品类149
1677,商品1263,品类36
1678,商品1264,品类15
1679,商品1265,品类5
1680,商品1266,品类15
1681,商品1267,品类26
1682,商品1268,品类289
1683,商品1269,品类15
1684,商品1270,品类15
1685,商品1271,品类15
1686,商品1272,品类137
1687,商品1273,品类41
1688,商品1274,品类290
1689,商品1275,品类17
1690,商品1276,品类158
1693,商品1277,品类49
1694,商品1278,品类12
1695,商品1279,品类12
1696,商品1280,品类24
1699,商品1281,品类36
1701,商品1282,品类36
1702,商品1283,品类83
1703,商品1284,品类5
1704,商品1285,品类15
1707,商品1286,品类23
1711,商品1287,品类57
1713,商品1288,品类23
1717,商品1289,品类270
1718,商品1290,品类51
1719,商品1291,品类12
1721,商品1292,品类15
1722,商品1293,品类9
1726,商品1294,品类291
1727,商品1295,品类15
1729,商品1296,品类47
1730,商品1297,品类12
1731,商品1298,品类5
1732,商品1299,品类33
1733,商品1300,品类15
1734,商品1301,品类36
1735,商品1302,品类15
1739,商品1303,品类292
1746,商品1304,品类5
1747,商品1305,品类5
1748,商品1306,品类293
1752,商品1307,品类6
1753,商品1308,品类5
1754,商品1309,品类294
1755,商品1310,品类3
1757,商品1311,品类15
